Product Name,Symbol,Price,Today,Market Capital,Date/Time(GMT)
"Ocugen, Inc",OCGN,$0.33,44.17M,2020-09-11 04:59:09
Vaxart,VXRT,$4.88,521.99M,2020-09-11 04:59:09
India Globalization Capital,IGC,$1.17,48.20M,2020-09-11 04:59:09
VBI Vaccines,VBIV,$3.12,716.71M,2020-09-11 04:59:09
Oragenics,OGEN,$0.6229,38.00M,2020-09-11 04:59:09
Titan Pharmaceuticals,TTNP,$0.2036,19.48M,2020-09-11 04:59:09
Zomedica Pharmaceuticals,ZOM,$0.1116,39.79M,2020-09-11 04:59:09
22nd Century Group,XXII,$0.59,82.63M,2020-09-11 04:59:09
Heat Biologics,HTBX,$1.12,193.67M,2020-09-11 04:59:09
MicroVision,MVIS,$1.56,220.10M,2020-09-11 04:59:09
Onconova Therapeutics,ONTX,$0.24,44.00M,2020-09-11 04:59:09
OPKO Health,OPK,$3.08,2.05B,2020-09-11 04:59:09
Tonix Pharmaceuticals,TNXP,$0.76,100.31M,2020-09-11 04:59:09
Novan,NOVN,$0.53,72.58M,2020-09-11 04:59:09
Trevena,TRVN,$1.77,269.93M,2020-09-11 04:59:09
Intec Pharma,NTEC,$0.2674,17.91M,2020-09-11 04:59:09
Bionano Genomics,BNGO,$0.53,74.36M,2020-09-11 04:59:09
Neptune Wellness,NEPT,$2.31,257.73M,2020-09-11 04:59:09
Vanguard Information Technology ETF,VGT,$302.58,35.68B,2020-09-11 04:59:09
Gevo,GEVO,$0.90,47.79M,2020-09-11 04:59:09
